"code","title","views","likes","duration","scanned_at","channel_url","channel_name","platform.Title","section.name"
"L2d8wsFXUvY","Song sung by China's first lady Peng Liyuan《Sunshine Road》🌹🌹 中国第一夫人彭丽媛演唱的歌《阳光路上》",248040,46000,"03:28","2024-05-16T13:00:09","@Seetheworld11","Together Around the World","Youtube","Đặng Gia Trang"
"H3ddJRA3rtc","Mãn Châu - Vùng Đất Chuyên Gia Đè Đầu Trung Quốc",307143,0,"30:38","2024-05-16T13:00:09","@PSMHTV","PSMH","Youtube","Đặng Gia Trang"
"CQEfMprK44c","ĐẢO RẮN THÁI BÌNH DƯƠNG: ""ĐỊA NGỤC KHÉT TIẾNG"" KHÔNG AI DÁM TỚI",14382,273,"09:44","2024-05-16T13:00:09","c/BLVH%E1%BA%A3iThanhStory","BLV Hải Thanh Story","Youtube","Đặng Gia Trang"
"YmYyoHgSk4Q","ZING ME - SỰ LỤI TÀN CỦA MỘT NỀN TẢNG GAME VIỆT",812528,0,"14:15","2024-05-16T13:00:09","@daylaphegame","Phê Game","Youtube","Đặng Gia Trang"
"h7Cf5ZKoEVg","Quang Trung vị vua, vị anh hùng vĩ đại của dân tộc Việt Nam. Khởi nghĩa Tây Sơn đại phá quân Thanh.",39,0,"03:10","2024-05-16T13:00:09","@LICHSUHAOHUNG1975","LỊCH SỬ HÀO HÙNG","Youtube","Đặng Gia Trang"
"q0Eg6L_yeYU","Top 20 Biggest Megaprojects Completing in 2024",793122,12000,"20:51","2024-05-16T13:00:09","@MegaBuildsYT","MegaBuilds","Youtube","Đặng Gia Trang"
"_BsgckzDeRI","I Automated YouTube Shorts with Python",274272,17000,"03:0","2024-05-16T13:00:09","@yellojello107","Yellojello","Youtube","Đặng Gia Trang"
"O-6kbagEmKA","Making A Fully Automated Youtube Channel With Computer Science",131880,66000,"08:54","2024-05-16T13:02:58","@nang88","nang","Youtube","Đặng Gia Trang"
"cKTU4fcttZ0","The TRUTH about YouTube Automation (actual results)",212885,91000,"10:25","2024-05-16T13:00:09","@DIGITALINCOMEPROJECT","DIGITAL INCOME PROJECT","Youtube","Đặng Gia Trang"
"7361005091928788225","Một địa điểm đẹp kì vĩ ở Đồng Nai mà mình phải wow lên, không thể tin được Việt Nam của tui lại đẹp đến như vậy.  #dulich #dulichtiktok #dongnai #dachuthap #dulichdongnai ",2000000,116300,"30","2024-05-16T13:02:58","blogcuarot","@Blog Của Rọt (Traveller)","Tiktok","Đặng Gia Trang"
