"Title","status","views","likes","scanned_at","chanel_name","platform_id","section_id"
"Có câu văn nào đã chữa lành cho bạn? Trích trong cuốn ""Chúng ta sinh ra là để hạnh phúc"" 🍃","published",1800000,68400,"2024-05-08T15:22:17",,2,4
"CHELSEA - WEST HAM | MÀN LỘT XÁC NGOẠN MỤC CỦA THE BLUES | NGOẠI HẠNG ANH 23/24","published",1052759,76,"2024-05-08T00:56:58","Kplus Sports ",1,1
"Caption ẩn ý ""tôi vẫn còn độc thân""","published",954900,38100,"2024-05-08T15:22:17",,2,4
"NHỮNG BẢN BALLAD NHẠC TRẺ TRIỆU VIEW NHẸ NHÀNG THƯ GIÃN HAY NHẤT CHÀO NĂM MỚI 2024","published",301252,754,"2024-05-08T00:57:33","Tiệm Café 198X",1,1
"Mỗi lần sau cơn mưa thì Đà Lạt góc nào cũng chill 🥰 #dalat #chill #binhyen #chillcungyang","published",267000,14200,"2024-05-08T00:35:00",,2,
"Scramble up ur name & I'll try to guess it","published",148400,34100,"2024-05-07T23:52:25","Scout, Suki & Stella",2,1
"Một tiệm cà phê mở 24h buổi sớm cà phê ăn sáng ngắm Đà Lạt từ trên cao, buổi chiều ngắm hoàng hôn, buổi tối nghe nhạc acoustic ngắm Đà Lạt lên đèn cực chill 🥰 #dalat #reviewdalat #chill #binhyen #chillcungyang","published",97400,3365,"2024-05-08T00:46:37",,2,
"Một khu cắm trại và cà phê mới toanh tại Đà Lạt có view ôm trọn núi đồi, ngắm bình minh và săn mây chill chill. #dalat #chillcungyang #ancungtiktok #reviewdalat","published",73300,3224,"2024-05-08T15:14:14",,2,3
"Cậu thích ngắm hoàng hôn chứ? #hoanghon #sunset #chill #binhyen #chillcungyang","published",56700,2185,"2024-05-08T00:40:41",,2,3
"Đi Đà Lạt rồi mà không chơi trò này là tiếc lắm luôn 🥰 #dalat #reviewdalat #chillcungyang","published",38300,757,"2024-05-08T00:35:00",,2,
"에피소드 - 이무진 [더 시즌즈-지코의 아티스트] | KBS 240503 방송","published",18585,589,"2024-05-08T00:57:33",,1,
"[가로] 도영(DOYOUNG) - 반딧불 (Little Light) [더 시즌즈-지코의 아티스트] | KBS 240503 방송","published",17870,18,"2024-05-08T00:57:33",,1,
"Lâu rồi mới ra ngồi ngắm hoàng hôn ở quê hương mình, vẫn như mọi lần, có chút gì đó nuối tiếc...#tiengiang #hoanghon #sunset #quehuong #chill #binhyen #chillcungyang","published",13200,315,"2024-05-08T15:22:17",,2,4
"Dư âm một chiều hoàng hôn #chil #hoanghon #sunset #binhyen #chillcungyang","published",10500,430,"2024-05-08T15:22:17",,2,4
"Top những câu văn viral nhất trong cuốn ""Chúng ta sinh ra là để hạnh phúc"" #chungtasinhraladehanhphuc #xuhuon","published",9995,527,"2024-05-08T15:22:17",,2,4
"Về Tân Phước - Tiền Giang đi đâu cũng thấy những cánh đồng khóm bạc ngàn bên cạnh những dòng kênh xanh thơ mộng #tiengiang #tiengiang63 #canhdongkhomtanphuoc #binhyen #chillcungyang","published",9198,571,"2024-05-08T00:40:41",,2,3
"Có câu nào đăng ảnh Tốt nghiệp? • Mùa hè vội vã quay trở lại, nhưng chúng ta thì lại vội vã ra đi. • Những người bạn g","published",8776,574,"2024-05-08T15:22:17",,2,4
"Photoshop P0.8 | Bách khoa toàn thư Camera Raw P8 | Thực chiến chỉnh ảnh phong cảnh","published",355,38,"2024-05-08T15:24:17",,1,4
"Caption đăng ảnh Du lịch đã đến, vui lòng thêm vào danh mục yêu thích 😊 • Vào thời điểm đẹp nhất, hãy đặt chân đế","published",0,0,"2024-05-08T15:22:17",,2,4
